date,old_ticker,new_ticker
4/4/2024,AAU,AAUAF
3/4/2024,ONTX,TRAW
3/4/2024,APAC,FAAS
2/4/2024,OSAPW,OSPWQ
2/4/2024,WETG,NXTT
2/4/2024,GEV.W,GEV
1/4/2024,WNNR,ZPTA
1/4/2024,OSAAW,OSPWQ
1/4/2024,CVCY,CWBC
28/3/2024,TWOA,LPA
27/3/2024,AGE,SER
27/3/2024,CNDB,GCTS
26/3/2024,FIXX,QTTB
26/3/2024,DWAC,DJT
25/3/2024,FSR,FSRNQ
25/3/2024,FLT,CPAY
22/3/2024,VJET,VJTTY
22/3/2024,GRPH,LENZ
22/3/2024,KIQ,KIQSF
22/3/2024,ADOC,COOT
21/3/2024,HCMA,MRNO
19/3/2024,SVFD,NITO
18/3/2024,PUYI,MAAS
15/3/2024,ENCP,GTI
15/3/2024,CYT,CYTT
15/3/2024,DHCA,BNAI
15/3/2024,XPDB,AIRJ
14/3/2024,ESAC,ZEO
13/3/2024,INPX,XTIA
13/3/2024,SASI,NTRP
12/3/2024,LBBB,NMHI
11/3/2024,JVSAU,HBNB
5/3/2024,GIA,QTIH
4/3/2024,CPSI,TBRG
4/3/2024,PEAK,DOC
4/3/2024,BODY,BODI
4/3/2024,BFX,BFXXQ
1/3/2024,ARIZ,FUFU
29/2/2024,POL,POLCQ
28/2/2024,SZZL,CRML
27/2/2024,ROI,ROII
27/2/2024,TMST,MTUS
26/2/2024,AMEH,ASTH
23/2/2024,LCAA,LOT
20/2/2024,JT,JTCHY
16/2/2024,CHEA,SELX
15/2/2024,LGST,TVGN
15/2/2024,FLME,SOC
15/2/2024,PBAX,CERO
13/2/2024,SEAS,PRKS
12/2/2024,QFTA,ATCH
12/2/2024,AEY,AEYGQ
9/2/2024,SFE,SFES
9/2/2024,ATAK,DHAI
9/2/2024,KERN,ABTC
8/2/2024,YGF,YGFGF
8/2/2024,OXUS,BRLS
6/2/2024,NHWK,SCPX
6/2/2024,DMK,DMKPQ
5/2/2024,NUBI,STI
1/2/2024,DMAQ,TRUG
1/2/2024,CDAY,DAY
1/2/2024,ADES,ARQ
30/1/2024,PBTS,XTKG
30/1/2024,RWLK,LFWD
29/1/2024,BHG,NEUE
26/1/2024,NCAC,PBM
25/1/2024,LIZI,SOGP
25/1/2024,GOL,GOLLQ
23/1/2024,GSD,GSDI
19/1/2024,NFTG,GXAI
17/1/2024,LAZY,GORV
16/1/2024,PTHR,HOVR
11/1/2024,CLBR.U,PEW
10/1/2024,TEDU,VSA
10/1/2024,ACRX,TLPH
10/1/2024,TRMR,NEXN
8/1/2024,LMDXW,LMDWF
8/1/2024,ADEX,GRDI
2/1/2024,BYN,PNST
26/12/2025,KAR,OPLN
